Gene_Name,Fold Change,log2FC,abslog2FC
WNT4,1.896258713256731,0.923155809631647,0.923155809631647
STARD3NL,0.5274689782406283,-0.9228418470475469,0.9228418470475469
ACOT7,1.8956576040724464,0.9226984064750946,0.9226984064750946
CDK2,1.8952923506947696,0.9224204026794443,0.9224204026794443
DOCK3,1.8950900955375503,0.9222664379981854,0.9222664379981854
KLF13,0.5277310456267851,-0.9221252372719425,0.9221252372719425
FABP5,1.894814144323388,0.922056346437182,0.922056346437182
FBXL2,0.5277591724836763,-0.9220483469772413,0.9220483469772413
ANKRD28,0.5277747883583503,-0.9220056596819219,0.9220056596819219
SMC1A,1.894517985545085,0.9218308360902397,0.9218308360902397
PINK1,0.5278643559685219,-0.9217608435475009,0.9217608435475009
PSME4,1.894367559657018,0.9217162806726845,0.9217162806726845
PHC3,1.8936384257147694,0.9211608866528865,0.9211608866528865
SPTBN5,1.8926576485631594,0.920413474228325,0.920413474228325
HIST2H2BE,1.8926140259311628,0.9203802221078609,0.9203802221078609
GLTP,1.892540937875724,0.920324507730959,0.920324507730959
FBXL5,0.5284539056102601,-0.9201504568605655,0.9201504568605655
KYNU,1.8920751313315112,0.9199693769687077,0.9199693769687077
SNRNP25,1.8915991202382194,0.9196063759270412,0.9196063759270412
MAP10,1.8913410704789315,0.9194095517163291,0.9194095517163291
ATP6V0D1,0.5287384249810502,-0.9193739194542521,0.9193739194542521
NFS1,1.8911913261849767,0.9192953238246692,0.9192953238246692
TPT1,0.5287880872339581,-0.9192384193316269,0.9192384193316269
REEP6,1.8909184816123346,0.9190871693645551,0.9190871693645551
LRCH1,0.5288889437451979,-0.9189632782728986,0.9189632782728986
PDRG1,1.8902747032847262,0.9185959086623215,0.9185959086623215
SLFN12L,0.5291814561621323,-0.9181655880169424,0.9181655880169424
CASP1,0.5291905331166703,-0.9181408419400784,0.9181408419400784
DUSP3,0.5291966703569905,-0.9181241105091886,0.9181241105091886
SSRP1,1.8892836326506832,0.9178393055914914,0.9178393055914914
TAOK2,0.5294157452234137,-0.9175269925777674,0.9175269925777674
RPL35A,1.8886500153456816,0.9173553815009754,0.9173553815009754
ZNF572,1.8886137947738095,0.9173277131981793,0.9173277131981793
USP46,1.888327915354009,0.9171093159584653,0.9171093159584653
INTS8,1.888256170374908,0.9170545012776742,0.9170545012776742
MGRN1,0.5296105589405813,-0.9169962091860424,0.9169962091860424
PRELID2,1.8881740898061827,0.916991787433481,0.916991787433481
PPP2CB,0.5297029484868955,-0.9167445557525672,0.9167445557525672
NPTXR,1.8877025095936157,0.9166314226706614,0.9166314226706614
CREB3L4,1.8876004021865997,0.9165533839790819,0.9165533839790819
AKAP7,0.5298183688230496,-0.9164302320206602,0.9164302320206602
CYP2D6,1.8872832120443028,0.9163109348372528,0.9163109348372528
PPP1R13L,1.8870709249872466,0.9161486472120519,0.9161486472120519
ATXN7,0.5299802435219103,-0.9159895146534405,0.9159895146534405
FBXO2,1.886245725425859,0.9155176313476364,0.9155176313476364
CLK4,0.5302906808980006,-0.91514469949257,0.91514469949257
HPSE,1.8857398819561548,0.9151306850834964,0.9151306850834964
GOLGA8N,0.5303639219623785,-0.9149454555157837,0.9149454555157837
KIAA0754,0.5306590277997181,-0.9141429323674558,0.9141429323674558
EXTL1,0.5307760232703094,-0.9138248935279772,0.9138248935279772
GUCY1A3,0.5307772230574767,-0.9138216324065924,0.9138216324065924
CASP3,1.8839264107916214,0.9137426120528793,0.9137426120528793
MRPL13,1.8839099106058466,0.9137299762937005,0.9137299762937005
BAG4,1.8836754643206255,0.9135504265503923,0.9135504265503923
DAGLA,0.5309115395731466,-0.9134565955352965,0.9134565955352965
ZNF771,1.8832070678379746,0.913191640057634,0.913191640057634
PLEKHA8,1.8826318220329923,0.9127508860578665,0.9127508860578665
TSPAN5,1.8820470798941362,0.9123027179071758,0.9123027179071758
TARBP1,1.8819864209176915,0.9122562186374478,0.9122562186374478
EHBP1,1.8819063892430443,0.9121948665713989,0.9121948665713989
MMP17,1.881810033230338,0.9121209968500291,0.9121209968500291
TMEM59L,1.8816605492975575,0.9120063900136534,0.9120063900136534
SH2D1A,0.5317105219387247,-0.9112870789111809,0.9112870789111809
NUTM2B,0.5317204231124524,-0.9112602142157292,0.9112602142157292
MCMDC2,1.8806484584848704,0.9112301972933883,0.9112301972933883
NR1D1,1.8801372543015302,0.9108379857710879,0.9108379857710879
DSEL,0.5319078838994499,-0.9107516742515711,0.9107516742515711
NAV3,0.5319909453140391,-0.9105264041640964,0.9105264041640964
STMN3,1.8797204049836573,0.9105180872532957,0.9105180872532957
OPHN1,0.5324321437472553,-0.9093304232902452,0.9093304232902452
